file,jd,date,year,phase,epoch,instrument,exptime,continuum_color,vmag_nearest,vmag_dt_days,Hbeta_peak,Hbeta_ew,HeI_NaD_peak,HeI_NaD_ew,Halpha_peak,Halpha_ew
000-BBW-825_CDZ_2461086.69119213.FITS,2461086.69119213,2026-02-15,2026.123811485288,0.10580749667851208,23.105807496678512,RC14 + UVEX_600 + Atik460EX,6000,2.1869469892972098,10.204,-0.003992130048573017,0.7822537314082904,-3.3815985407710207,1.1936745344405686,-2.4923012018795534,2.4703480199567642,16.23409547199714
000-BBW-825_CDZ_2461087.68248843.FITS,2461087.68248843,2026-02-16,2026.126527365561,0.11016383199819657,23.110163831998197,RC14 + UVEX_600 + Atik460EX,6000,2.114132536256873,10.19,-0.003948429599404335,0.8667881802388433,-3.141091996619097,1.12371462407631,-2.6034551380382083,2.6114955022483324,15.264867842364538
000-BBW-825_CDZ_2461088.68005787.FITS,2461088.68005787,2026-02-17,2026.129260432521,0.11454773516440042,23.1145477351644,RC14 + UVEX_600 + Atik460EX,6000,2.147457388956584,10.201,-0.004007870331406593,0.7573437033638226,-3.3065707225304237,1.1521633780908513,-2.571386265893773,2.337392896382227,14.92891273815902
000-BBW-825_CDZ_2461089.68349537.FITS,2461089.68349537,2026-02-18,2026.1320095763567,0.11895742601408799,23.118957426014088,RC14 + UVEX_600 + Atik460EX,6000,2.170330966783081,10.194,-0.0040253703482449055,0.7772092541793479,-3.4188992926598596,1.137291198149511,-2.5259411510907963,2.3051319579047544,14.387485784318898
000-BBW-825_CDZ_2461091.65340278.FITS,2461091.65340278,2026-02-20,2026.1374065829593,0.1276143505167866,23.127614350516787,RC14 + UVEX_600 + Atik460EX,6000,2.365189137611155,10.188,-0.003992780111730099,0.7589151885988683,-3.4785098939840378,1.0708399453034627,-2.8155637162866918,2.182738113664614,13.809378421558552
000-BBW-825_CDZ_2461092.64920139.FITS,2461092.64920139,2026-02-21,2026.1401347983285,0.1319904716178435,23.131990471617843,RC14 + UVEX_600 + Atik460EX,6000,2.7284148780750255,10.179,-0.03619238967075944,0.7733749289884169,-3.3194890108910577,1.08405710447566,-3.1188292518035463,2.2005489979538653,13.521025958980358
000-BBW-825_CDZ_2461093.66649306.FITS,2461093.66649306,2026-02-22,2026.1429218987946,0.13646104578876006,23.13646104578876,RC14 + UVEX_600 + Atik460EX,6000,2.191800507510748,10.178,-0.004063060041517019,0.7524489803123069,-3.4396339658194233,1.0960401137425324,-2.994822660184484,2.2185074350238225,11.42703418222993
000-BBW-825_CDZ_2461094.64611111.FITS,2461094.64611111,2026-02-23,2026.1456057838636,0.1407660600542755,23.140766060054275,RC14 + UVEX_600 + Atik460EX,6000,2.1741901293043386,10.071,4.588998854160309e-05,0.7809030742758784,-3.2163047888926037,1.1352313542465968,-2.816580958423259,2.0866583949366184,11.397281554900921
000-BBW-825_CDZ_2461095.6550463.FITS,2461095.6550463,2026-02-24,2026.148369989863,0.14519991096626583,23.145199910966266,RC14 + UVEX_600 + Atik460EX,6000,2.168166880707152,10.121,-0.0003932998515665531,0.79073192128604,-3.213575179247536,1.0879581130144405,-3.052920858728807,2.138307978599807,11.61248515654631
000-BBW-825_CDZ_2461096.65766204.FITS,2461096.65766204,2026-02-25,2026.1511168823017,0.1496059905225593,23.14960599052256,RC14 + UVEX_600 + Atik460EX,6000,1.9393671235081638,10.147,0.003005960024893284,0.7660741176074003,-3.3543302418716845,1.0608555926238614,-3.2192732175975673,2.000640076712715,10.930922693077882
000-BBW-825_CDZ_2461107.61925926.FITS,2461107.61925926,2026-03-08,2026.1811486555073,0.19777765538469438,23.197777655384694,RC14 + UVEX_600 + Atik460EX,6000,2.269828144915647,9.96,-8.9260283857584e-05,0.756392637067525,-3.5180285272923513,1.0737073620519844,-3.3547407624910157,2.003815708476554,11.99445535067258
000-BBW-825_CDZ_2461108.61137731.FITS,2461108.61137731,2026-03-09,2026.1838667871507,0.2021376019548029,23.202137601954803,RC14 + UVEX_600 + Atik460EX,6000,2.3112305995597633,9.959,-0.0009073098190128803,0.7646931451695412,-3.242665581491489,1.0685746829619027,-3.113227409646051,2.1653613113946735,12.817433649297026
000-BBW-825_CDZ_2461109.60960648.FITS,2461109.60960648,2026-03-10,2026.1866016615897,0.2065244043594241,23.206524404359424,RC14 + UVEX_600 + Atik460EX,6000,2.401040185480605,10.032,-0.0009464803151786327,0.762219990367787,-3.1134508037655806,1.1934714700773665,-2.3581475946088255,2.3716303916120767,14.75610136420855
000-BBW-825_CDZ_2461127.56195602.FITS,2461127.56195602,2026-03-28,2026.2357861808769,0.28541752076953486,23.285417520769535,RC14 + UVEX_600 + Atik460EX,6000,2.3916517262613577,9.945,-0.00046302005648612976,0.7676839075988763,-3.328041010566616,1.0420356637223447,-4.253190962334461,1.9169570446048174,10.298453074032647
000-BBW-825_CDZ_2461128.56577546.FITS,2461128.56577546,2026-03-29,2026.2385363711235,0.2898288900870085,23.28982889008701,RC14 + UVEX_600 + Atik460EX,6000,2.1816112881727427,9.916,0.09596653981134295,0.7552168195805125,-3.273399525198034,1.049587927961308,-3.8995751024071073,1.8712939613845019,8.712410852125661
000-BBW-825_CDZ_2461130.56186343.FITS,2461130.56186343,2026-03-31,2026.2440051052872,0.2986008672709701,23.29860086727097,RC14 + UVEX_600 + Atik460EX,6000,2.3915032894583157,9.955,-0.004023429937660694,0.762158938710373,-3.2574717446524195,1.0648026065676242,-4.244897065665188,1.6041507136594442,7.6431847926197065
000-BBW-825_CDZ_2461131.55237269.FITS,2461131.55237269,2026-04-01,2026.2467188292871,0.3029537438779819,23.302953743877982,RC14 + UVEX_600 + Atik460EX,6000,2.5192528619944174,9.968,-0.004042689688503742,0.7722846842676511,-3.3445207188792967,1.042699393351646,-3.9607215286157196,1.5658293683610454,7.325717512563518
000-BBW-825_CDZ_2461136.54443287.FITS,2461136.54443287,2026-04-06,2026.2603957064935,0.3248917739979724,23.324891773997972,RC14 + UVEX_600 + Atik460EX,6000,2.6030338207983665,10.003,-0.00288187013939023,0.7622539203243334,-3.2605374674684975,1.0793780564620732,-3.816491619770158,1.375152043641625,5.148232549923468
000-BBW-825_CDZ_2461137.53719907.FITS,2461137.53719907,2026-04-07,2026.263115613891,0.3292545689189694,23.32925456891897,RC14 + UVEX_600 + Atik460EX,6000,2.462790934870838,9.97,0.00021092966198921204,0.7611073688989695,-3.310501305608379,1.1241302645193672,-4.082915700922934,1.581487992443233,7.694499758641243
000-BBW-825_CDZ_2461141.60715278.FITS,2461141.60715278,2026-04-11,2026.2742661720001,0.3471403242682385,23.34714032426824,RC14 + UVEX_600 + Atik460EX,6000,2.094092983527887,9.994,-0.00024277996271848679,0.7778473977851115,-3.1316096949443066,1.0315454056902065,-4.345942311979589,1.5201478209625465,6.748305354656606
